target_id	length	eff_length	est_counts	tpm
ATCG00020.1	1062	847.47	85	25.2385
ATCG00040.1	1581	1366.47	5	0.920743
ATCG00050.1	240	63.2936	0	0
ATCG00065.1	114	11.453	2	43.942
ATCG00070.1	186	33.3338	1	7.54889
ATCG00080.1	111	11.9882	10	209.9
ATCG00120.1	1524	1309.47	10	1.92164
ATCG00130.1	555	341.42	6	4.42212
ATCG00140.1	246	67.0938	1	3.75047
ATCG00150.1	750	535.47	12	5.63916
ATCG00160.1	711	496.521	4	2.02717
ATCG00170.1	4131	3916.47	12	0.771001
ATCG00180.1	2043	1828.47	12	1.65144
ATCG00190.1	3219	3004.47	54	4.52266
ATCG00210.1	90	12.7083	2	39.6013
ATCG00220.1	105	11.0187	123	2808.95
ATCG00270.1	1062	847.47	52	15.44
ATCG00280.1	1422	1207.47	38	7.9191
ATCG00300.1	189	34.6264	9	65.4039
ATCG00330.1	303	109.127	10	23.0588
ATCG00340.1	2205	1990.47	15	1.89629
ATCG00350.1	2253	2038.47	36	4.44392
ATCG00360.1	381	175.803	3	4.29402
ATCG00380.1	606	391.876	5	3.21063
ATCG00420.1	477	265.311	10	9.48447
ATCG00430.1	678	463.617	25	13.569
ATCG00440.1	363	159.704	11	17.3319
ATCG00470.1	399	192.073	83	108.738
ATCG00480.1	1497	1282.47	90	17.6589
ATCG00490.1	1440	1225.47	69	14.1682
ATCG00500.1	1467	1252.47	0	0
ATCG00510.1	114	11.453	0	0
ATCG00520.1	555	341.42	1	0.73702
ATCG00530.1	690	475.617	13	6.87787
ATCG00540.1	963	748.47	2	0.672395
ATCG00550.1	123	13.1481	3	57.4153
ATCG00560.1	117	11.9659	1	21.0293
ATCG00570.1	120	12.4615	1	20.1928
ATCG00580.1	252	70.9736	1	3.54545
ATCG00590.1	96	11.9767	0	0
ATCG00600.1	114	11.453	0	0
ATCG00630.1	135	15.4313	33	538.121
ATCG00640.1	201	40.4316	3	18.6711
ATCG00650.1	306	111.398	15	33.8831
ATCG00660.1	354	151.751	6	9.94919
ATCG00670.1	591	376.992	36	24.0291
ATCG00680.1	1527	1312.47	19	3.64278
ATCG00690.1	102	11.4231	1	22.0285
ATCG00700.1	132	14.795	0	0
ATCG00710.1	222	51.6906	7	34.0765
ATCG00720.1	648	433.752	7	4.06093
ATCG00730.1	483	271.042	6	5.57036
ATCG00740.1	990	775.47	31	10.0592
ATCG00750.1	417	208.67	9	10.853
ATCG00760.1	114	11.453	16	351.536
